MAKE,WEBSITE,PARENT COMPANY
Acura,https://www.acura.com/,HONDA MOTOR COMPANY
Audi,https://www.audi.com/en.html,Volkswagen Group
BMW,https://www.bmw.com/en/index.html,BMW Group
Buick,https://www.buick.com/,General motors
Cadillac,https://www.cadillac.com/,General motors
Chevrolet,https://www.chevrolet.com/,General motors
Chrysler,https://www.chrysler.com/,Fiat Chrysler automobiles
Dodge,https://www.dodge.com/,Fiat Chrysler automobiles
Ford,https://www.ford.com/,FORD MOTOR COMPANY
GMC,https://www.gmc.com/,General motors
Honda,https://www.honda.com/,HONDA MOTOR COMPANY
Hummer,https://www.gm.com/,General motors
Hyundai,https://www.hyundai.com/worldwide/en,HYUNDAI MOTOR GROUP
Infiniti,https://www.infiniti.com/vehicles.html,Renault-Nissan-Mitsubishi Alliance
Isuzu,https://www.isuzu.co.jp/world/,General motors
Jaguar,https://www.jaguar.com/market-selector.html,Tata Motors
Jeep,https://www.jeep.com/,Fiat Chrysler automobiles
Kia,https://www.kia.com/worldwide/main.do,HYUNDAI MOTOR GROUP
Land Rover,https://www.landrover.com/market-selector/index.html,Tata Motors
Lexus,https://www.lexus.com/,TOYOTA MOTOR CORPORATION
Lincoln,https://www.lincoln.com/,FORD MOTOR COMPANY
Mazda,https://www.mazda.com/,Mazda Motor Corporation
Mercedes-Benz,https://www.mercedes-benz.com/en/,Daimler AG
Mercury,http://www.mercuryvehicles.com/,FORD MOTOR COMPANY
MINI,https://www.mini.com/en_MS/home.html,BMW Group
Mitsubishi,https://www.mitsubishicars.com/,Renault-Nissan-Mitsubishi Alliance
Nissan,https://www.nissan-global.com/EN/index.html,Renault-Nissan-Mitsubishi Alliance
Oldsmobile,https://www.gm.com/,General motors
Pontiac,https://www.gm.com/,General motors
Porsche,https://www.volkswagenag.com/en/brands-and-models/porsche.html,Volkswagen Group
Saab,https://www.saab.com/,Saab AB
Scion,https://www.toyota.com/scion/,TOYOTA MOTOR CORPORATION
Subaru,https://www.subaru.com/index.html,Subaru Corporation
Suzuki,https://www.suzuki.com/,Suzuki Motor Corporation
Toyota,https://global.toyota/en/,TOYOTA MOTOR CORPORATION
Volkswagen,https://www.vw.com/,Volkswagen Group
Volvo,https://www.volvo.com/home.html,Zhejiang Geely Holding Group
